topic_id,number_of_words_in_topic
14347,"Exorcist, The (film)",3
6400,Fatal Frame,2
27897,"Joyce, James -- Works: Exiles",4
18222,Antisemitism -- as self-defense,4
18808,Self-defense -- exclusion of Jews as,6
5384,Fallout 3,2
3459,"Fabian, Scott",2
42806,Everywoman (journal),2
31713,Everything We Had (Santoli),4
44930,"Evergreen (novella, Sim Hun)",4
44926,"Evergreen (film, Shin, 1961) -- Park's reaction to",7
8859,"Evans, Robert",2
14026,"Evans, Rowland",2
38634,"Evans, Mark Chaim",3
22430,"Evans, Israel",2
46496,"Doctor, Doctor",2
46497,Doctor Who,2
10175,doctors,1
571,Gulf Coast region -- evacuees,4
41528,Europe -- U.S. withdrawal from,4
32316,European Economic Community,3
17375,European Community (EC),3
44298,"Poe, Edgar Allan -- spiritualized gravity in",6
44303,"Poe, Edgar Allan -- Eureka",4
27895,"Vivien, Renée -- Works: Etudes and Preludes",6
5144,E.T. -- The Extraterrestrial,3
31022,servitude (in prophecy),3
38399,Ethnic political tradition -- construction of gays as an ethnic group,10
11933,United States (US) -- race and ethnicity in,7
21504,"""Esther Summerson Rehabilitated"" (Zwerdling)",4
12167,Esther Summerson (Bleak House),4
25757,establishment clause,2
44387,self -- false essentialism of (DeLanda),5
28552,"Abraham ibn Ezra, Rabbi",4
17810,Essences -- Ibn Ezra on,4
26568,"Eliot, George, writings -- The Essence of Christianity (transl. of Feuerbach)",10
35970,"Levi-Strauss, Claude",3
26648,"Eliot, George, writings -- The Life of Jesus (transl. of Strauss)",10
26555,"Eliot, George, writings -- ""The Lifted Veil""",6
46494,"Eliot, George, writings -- Ethics (transl. of Spinoza)",7
29737,"Fromm, Erich: Escape from Freedom",5
24779,Eros,1
25823,"Erikson, Kai T.",3
35101,"Erikson, Erik H.",3
36339,"Erdrich, Louise -- Love Medicine",4
1145,ER,1
29736,"Shaffer, Peter: Equus",3
44043,Cosmo-political Party,3
32651,Equal protection doctrine,3
26355,"Equal Protection Clause, Fourteenth Amendment",5
31231,Equal Pay Act of 1963,5
10126,Congress of Racial Equality (CORE),5
20315,equality,1
38633,"Epstein, Steven",2
30765,etiquette (manners),2
35330,"Epstein, Robert",2
45611,"Epstein, Robert",2
23039,"Epstein, I.",2
25819,Protestants -- Episcopalians,2
27894,"Wickham, Anna -- ""Envoi""",3
6866,"Wolfe, Cary, Critical Environments",4
11103,Entre les murs (Cantet),4
3450,"Ensler, Eve -- Vagina Monologues",4
16372,Engulfment -- merging,2
16369,Engulfment -- defenses against,3
16370,Engulfment -- and the fear of being devoured,7
16371,Engulfment -- and flight from women,5
42793,"English, Joseph",2
36582,"Ohmann, Richard",2
14964,English in America (Ohmann),4
14961,English departments -- self descriptions of,5
14949,English departments -- disciplinarity of,4
42792,"English, Deirdre",2
7018,English -- classes,2
3448,"English, Chuck",2
26863,English -- as a Second Language (ESL),6
44599,"Engels, Friedrich",2
9621,"Engelbart, Douglas",2
8177,engagement -- Nisenholtz,2
9802,"Nisenholtz, Martin",2
45609,infant universe,2
13016,Energy level,2
20762,Energy-conservation policy -- U.S.,4
46493,Energy-conservation policy,3
5933,Public Enemy (rap group),4
27891,"Keats, John -- Endymion",3
12164,"End of the Road, The (Barth)",6
14946,"End of Racism, The (D'Souza):",5
14945,"End of Intelligent Writing, The (Kostelanetz)",6
834,Ninth Ward Neighborhood Empowerment Network Association (NENA),7
835,Ninth Ward Neighborhood Empowerment Network Association (NENA) -- Center,8
26157,Employment Non–Discrimination Act (ENDA),4
38730,"Smith, Alena",2
17366,Employee stock ownership plans (ESOPs),5
26158,Employment Retirement and Income Security Act,6
17374,Employee Retirement Income Security Act of 1974 (ERISA),8
27890,"""Emperor's New Clothes, The"" (Andersen)",5
2207,empathy,1
23033,"Empathizing, process of",3
41963,empathetic,1
41107,emotionology,1
21500,"Emotional ""polarisation""",2
35328,"Emmons, Carol-Ann",3
12163,Emma Woodhouse (Emma),3
12162,Emma Bovary -- and Edna Pontellier,5
21497,Emma (Jane Austen),3
30500,"Emerson, Ralph Waldo -- criticized by William James",7
11097,young people -- emerging adulthood life stage,6
528,Federal Emergency Management Agency (FEMA),5
45598,embryology -- Hippocratic–Galenic and Aristotelian,4
45429,embryology,1
43894,embodiment of cosmic forces,4
18415,Emancipation Law of 1867,4
35327,"Ellsworth, Elizabeth",2
5676,"Ellis, Tray",2
5782,"Ellison, Ralph: The Invisible Man",5
38631,"Ellis, A.",2
1141,Elle,1
12134,Elizabeth-Jane Henchard (The Mayor of Casterbridge),7
46492,"Electronic Literature -- examples of e-lit, teaching syllabi, related essays",10
4551,Electronic Literature: definition of,4
28174,"Louÿs, Pierre -- Songs of Bilitis",5
3439,Eliot House Senior Common Room,5
26534,"Eliot, George, writing process -- Middlemarch",5
40641,Sibling(s),1
26575,"Evans, Mr. Robert (Eliot's father)",5
26526,"Eliot, George, loss -- Thornie's death",5
26522,"Eliot, George, loss, estrangement from family",6
26520,"Eliot, George, loss",3
26518,"Eliot, George, depression -- Romola",4
29941,"Eliot, George, writings -- Middlemarch",4
7649,"Eliot, George",2
21823,Marina (Eliot),2
21588,Four Quartets (Eliot),3
12156,Elinor Dashwood (Sense and Sensibility),5
30496,Elijah,1
11095,"Elias, Norbert",2
4546,"Eliade, Mircea, on the profane and sacred",7
19866,Eleventh Amendment -- and Chisholm v. Georgia (1793),7
45587,matter -- four elements,3
24212,"Gotti, John -- electronic surveillance of",5
33527,Internet -- electronic bulletin boards,4
28331,"Eleazar ben Judah of Worms, Rabbi",6
4540,"Eisenhower, Dwight D.",3
44032,"Eiros (character in ""The Conversation of Eiros and Charmion"")",9
33996,Eichmann in Jerusalem: A Report on the Banality of Evil,10
19128,Egor (Shukshin),2
11091,Megan (class member) -- ego network of,6
11090,Mark (class member) -- ego network of,6
11089,Gideon (class member) -- ego network of,6
11086,Dilruba (class member) -- ego network of,6
35908,Ego -- ideal,2
29731,Id -- confrontation with ego in prison,6
24940,"Loewald, Hans",2
29732,"Freud, Sigmund -- ego and freedom",5
41818,SAGE (Students Against Genocide),4
39473,Sexual harassment -- Equal Employment Opportunity Commission guidelines,7
39463,Equal Employment Opportunity Commission,4
25786,Edward VI,2
45584,Edward the Black Prince,4
8848,"Edwards, Richard C.",3
35323,"Edwards, M.",2
12155,"Horneyan theory, applications of -- to education plots",7
44027,"Education of Henry Adams, The (Adams) -- on entropy",8
44028,"Education of Henry Adams, The (Adams) -- issue of irony in",10
41961,education debt,2
26151,"Educational institutions, and affirmative action",5
26252,Racial affirmative action -- at educational institutions,6
26254,Racial affirmative action -- and stigma,5
26255,Racial affirmative action -- justifications for,5
26253,Racial affirmative action -- in employment,5
46490,Racial affirmative action,3
12175,"Flaubert, Gustave -- Flaubertian elements in The Awakening",7
12177,"Flaubert, Gustave -- psychological conflicts of",5
12176,"Flaubert, Gustave -- presence in Madame Bovary",6
12268,"Shakespeare, works of -- King Lear",5
31706,"Edge, The",2
15419,"Edelson, Marshall",2
30491,"Edelman, Murray J. -- on crisis",5
21209,"Theory of Public Finance: A Study in Public Economics, The (Musgrave)",11
26776,Bureau of Indian Affairs,4
20750,"Economics of Industrial Innovation, The (Freeman)",6
26250,"Posner, Richard -- and word-of-mouth recruiting",7
26249,"Posner, Richard -- and value of education",6
26248,"Posner, Richard -- and racial stigma",5
26247,"Posner, Richard -- and pregnancy discrimination",5
26246,"Posner, Richard -- and moralism",4
26245,"Posner, Richard -- and gay marriage",5
26244,"Posner, Richard -- and formal equality arguments",6
26243,"Posner, Richard -- and employment at will",6
26242,"Posner, Richard -- and Aid to Families with Dependent Children",9
2985,"Posner, Richard A.",3
21582,"""Finding"" the other",3
37462,Eating disorders -- background of respondents,5
31965,Post-Traumatic Stress Disorder (PTSD),5
45504,eating -- dining and,3
2204,West vs. non-West dichotomy.,5
5141,D'ni (Dunny),2
5143,Easter eggs,2
26847,Earned income credit program,4
8843,"University of Pennsylvania, Early Novels Database",6
17812,Esther,1
14022,"Eagleton, Thomas",2
16902,"Eagle, Morris",2
29605,"Byron, Lord (George Gordon Noel)",5
20601,Judges -- Byron White,3
29607,"Byron, George Gordon -- ""The Prisoner of Chillon""",7
29608,"Byron, George Gordon: Cain -- A Mystery",6
37376,"Bynum, Caroline Walker",3
1081,"Cabrel, Francis",2
8120,Buzzfeed,1
9641,FOX,1
35272,"Butler, Judith",2
19608,Sophia,1
20140,Slavery -- Bushrod Washington's involvement with,5
12644,"Bush, George -- personal relationships with world leaders",7
3281,"Cabell, Pete",2
8675,computer-aided design (CAD),4
46488,"Burns, Jerry",2
35076,"Burns, James MacGregor",3
40240,Burnout -- among teachers,3
40239,"Burnout, among students",3
29604,"Burnett, Frances Hodgson: A Little Princess",6
272,France,1
28638,Myanmar,1
35270,"Burke, Kenneth",2
20240,Buridan's ass,2
45468,"Buridan, Jean",2
26131,"Burger, Chief Justice",3
32244,Bureau of the Census,4
10866,"Burawoy, Michael",2
29603,"Bunyan, John: The Pilgrim's Progress",5
33918,"Bunche, Ralph J.",3
15764,Ijime (bullying),2
28568,Sexual abuse,2
31622,Buffalo Afternoon (Schaeffer),3
45871,"Pearl, The",2
11964,"Williams, R.",2
262,Facebook,1
261,European Union (EU),3
8112,Bucks,1
45898,regime of attraction: Bryant's concept of,6
45615,exo-relations: Bryant's concept of,5
35268,"Bryant, Anita",2
22365,"""Brutus""",1
735,"Lupton, Julia Reinhardt",3
35748,Julia,1
19054,"Brunswick, Ruth Mack",3
10865,"Bruner, Jerome S.",3
15373,"Brown, Norman O.",3
5575,"Brown, Michael",2
7526,"Brown, Lucy Madox",3
30770,martyrdom -- in Welch's rhetoric,4
10864,"Brown, P.",2
35266,"Brown, Ralph",2
13991,"Browning, Rufus P.",3
33915,"Brown, H. Rap",3
35265,"Brown, Howard",2
7525,"Brown, Ford Madox",3
35073,"Brown, F. G.",3
37369,"Brothers, Doris",2
30221,"Wideman, John Edgar: Brothers and Keepers",6
26491,"Eliot, George, writings -- ""Brother Jacob""",5
26490,"Eliot, George, writings -- ""Brother and Sister Sonnets""",7
9678,"Habermas, Jurgen",2
27834,"Brooks, Romaine -- 70 Dessins",4
1078,"Brooks, David",2
15372,"Brooks, Cleanth",2
42615,Little Tokyo (L.A.) -- Bronzeville,4
12484,"Brontë, Emily -- Wuthering Heights",4
12059,"Brontë, Emily -- analysis of Wuthering Heights",6
12058,"Brontë, Charlotte -- analysis of Jane Eyre",6
17771,Brody,1
24774,Id,1
8660,interdisciplinarity (ID) -- broad,3
7501,Biograph,1
10069,BBC (British Broadcasting Corporation),4
31194,"Brigham, Carl C.",3
43901,"Briggs, Reuel (character in Of One Blood)",7
2555,Judges -- Stephen Breyer,3
37367,"Breuer, Josef",2
20238,Judges -- William Brennan,3
15370,"Breger, Louis",2
21346,Breasts -- magical reparation through,4
21345,Women in works of Dickens -- absence of breasts in,9
29593,"Braly, Malcolm -- False Starts: A Memoir of San Quentin and Other Prisons",12
27263,Brain,1
19775,"Bradford, William",2
31615,Braddock: Missing in Action III,5
8107,BP,1
15782,"Lewis, Catherine -- boy with rock",5
27604,"Rock, Irvin",2
10862,"boyd, danah",2
46114,"Berlin, Sir Isaiah",3
32664,"Boxer, Sen. Barbara",3
15437,"Fletcher, Angus",2
32663,Bowers v. Hardwick -- prohibition of conduct in,7
32662,Bowers v. Hardwick -- misapplication of,5
9548,"Bowers, Chris",2
10861,"Bourdieu, P. -- on social class",5
10859,"Bourdieu, P. -- on cultural capital",5
10860,"Bourdieu, P. -- on habitus",4
6908,"Bourdieu, Pierre",2
20648,Bound to Lead: The Changing Nature of American Power (Nye),10
16298,Engulfment,1
16423,Identification -- with the hero of the Cornet,7
2591,Colorado.,1
14296,"Boswell, John E.",3
3252,"Boston, MA -- hospital",3
21337,"Bostonians, The (James)",3
8657,Boston DH Consortium,3
3748,Massachusetts.,1
3750,"Ipswich, MA",2
3749,"Concord, MA",2
9547,"Boston, MA",2
24691,"Boss, Medard",2
7546,cinema,1
46487,"Cinema, The",2
6371,Cahiers du Cinema (magazine),4
5337,boss,1
46486,Who's the Boss?,3
41424,Bosnian Muslims -- mass rape of women and young girls,9
41413,Bosnia-Herzegovina -- depicted as civil war,6
20647,"Boskin, Michael J.",3
11928,United States of America,4
29587,"Colson, Charles: Born Again",4
8512,Supreme Court (U.S.),3
26770,"Borjas, George J.",3
27825,"Mardrus, J.-C. -- Works: Book of a Thousand and One Nights, The",12
5130,Book Assembly Island (Crater Island),5
1067,Bones,1
22978,Bonding,1
15442,"Freud, S. -- incestuous origin of object-relational bonds",8
24060,"Bonanno, Joseph",2
4446,"Bomag Corporation, Kewanee, IL",4
46484,Seasoning,1
29583,"Bolt, Robert: A Man for All Seasons",7
6086,"Bolter, Jay David",3
18273,Bolshevism,1
13983,"Bok, Derek",2
37365,Body -- trauma embedded in,4
31607,"body, the -- metaphors of",4
31608,"body, the -- images of wounded body",6
37364,Body -- suffering,2
37363,Body -- sin,2
37362,Body -- shame,2
37361,Body -- rights over,3
37360,Body -- respect for,3
37359,Body -- religious symbolism and,4
37358,Body -- relationship with,3
37357,Body -- preoccupation with,3
37356,Body -- politics of,3
37355,Body -- perception of,3
37353,Body -- meaning,2
37352,Body -- integrity,2
16291,Body -- image,2
37350,Body -- focus,2
37349,Body -- dread of,3
37348,Body -- disdain for,3
37347,Body -- discipline of,3
37346,Body -- denial of,3
37345,Body -- culture's grip on,4
37344,Body -- control over,3
37343,Body -- conflict,2
37342,Body -- changes,2
43893,body/bodies -- attraction of earthly and stellar,7
37341,Body -- attacks on,3
37351,Body -- and food,3
37354,Body -- and methodology,3
42591,bodies -- poor,2
42589,bodies -- Black,2
42590,bodies -- and multiracial feminist politics,5
124,maps,1
19773,"Bobbitt, Philip -- on textualism",4
19772,"Bobbitt, Philip, on constitutional interpretation",5
13982,"Bobbitt, Philip",2
31603,"""boat people""",2
46082,Other -- representation of,3
46482,"Sullivan, Louis",2
9918,"Sullivan, Andrew",2
35647,Board of Supervisors (in San Francisco) -- Milk's 1975 campaign for,10
35648,Board of Supervisors (in San Francisco) -- Milk's 1977 campaign for,10
35646,Board of Supervisors (in San Francisco) -- Milk's 1973 campaign for,10
9545,"Blumer, Herbert",2
3848,"Blue Mountain Lake, NY",4
25656,Sunday laws,2
21334,"Blue Closet, The (Morris)",4
27525,"Morris, I.",2
30310,"Bloom, Harold, on Emerson",4
31601,"Bloom, Allan",2
18266,Kettoskereszt Verszovetseg (Blood Alliance of the Double Cross),8
18268,Blood libel,2
18881,Tisza Eszlar (village): blood libel,5
3114,wiki,1
1731,Wikis -- BlogsAndWikis wiki,3
8472,SCOTUSblog,1
8398,nytimes.com -- liveblog,2
9542,Blogrunner,1
9541,Blogroll,1
9539,BlogPulse,1
6902,blogging,1
8080,"Bilton, Nick -- ""The Blogosphere Reacts to Apple's iPad""",8
106,"Last American Pirate, The, hoax",5
30690,Joel,1
12056,"Dickens, Charles -- Bleak House",4
24688,"Blanton, Smiley",2
46077,Equal rights for Jews -- in marriage,6
30307,"Blake, William -- ""The Marriage of Heaven and Hell""",8
29579,"Joint, The (Blake) -- yearning for prison",6
29574,"Blake, James -- The Joint",4
29578,"Joint, The (Blake) -- on prison friendship",6
29577,"Joint, The (Blake) -- negative images of life outside",8
29575,"Joint, The (Blake) -- failed robbery",5
29576,"Joint, The (Blake) -- and impulse neurosis",6
22973,Joseph A. Blake,3
8648,Blake Archive,2
7505,"Magazine, Blackwood's",2
31599,Black Sunday,2
20233,"Blackstone, William T.",3
38790,"Blackstone, English legal positivism",4
39054,"Langdell, Christopher Columbus",3
39285,"Rorty, Richard -- and Holmes",4
20517,Rights -- Holmesian,2
39001,"Holmes, O. W. -- Holmes and Brandeis dissents",7
39000,"Holmes, O. W. -- critique of Langdellian formalism",7
30644,"Holmes, Oliver Wendell, as poetic inspiration for Welch",8
38998,Judges -- Oliver Wendell Holmes,4
38997,Holmesian pragmatism,2
38996,Holmesian instrumentalism,2
13140,"Holmes, Colonel Eugene",3
7632,"Doyle, Arthur Conan -- Sherlock Holmes",5
38791,"Blackstone, English legal positivism -- and Holmes",6
39835,Black rage defense,3
46480,Black rage -- different than the black rage defense,8
33894,Black Power movement,3
42585,Black Power (Carmichael and Hamilton),5
8108,branding,1
3324,"Chicago, University of",3
14002,"Chessick, Richard D.",3
43929,"Chesnutt, Charles -- works -- ""The Future American""",6
43918,"Chesnutt, Charles -- a conservation ethic attributed to",7
32686,"Chesebro, James",2
32685,"Cheney, Richard",2
29619,"Chekhov, Anton -- The Island: A Journey to Sakhalin",8
29621,"Chekhov, Anton -- The Three Sisters",5
46478,"Chekhov, Anton",2
29618,"Cheever, John: Falconer",3
14118,"Lewis, Anthony",2
15123,Life of Death (Lewis),4
4476,"Chaucer, Geoffrey",2
19070,"Chasseguet-Smirgel, Janine",3
15392,"Chase, Richard",2
31636,Charlie Company (Goldman and Fuller),5
14052,"Goldman, Peter",2
16538,Mother -- as source of child's sense of solidity and form,10
28124,"Rilke's writings -- Notebooks of Malte Laurids Brigge, The (Die Aufzeichnungnen des Malte Laurids Brigge)",14
3316,Charles Stewart Mott Foundation,4
1094,"Charles, Ray",2
5584,"Charles, Michael Ray -- (Forever Free) The NBA",7
5585,"Charles, Michael Ray -- (Forever Free) Servin' with a Smile",9
5583,"Charles, Michael Ray -- (Forever Free) Aneminentevaluation",6
5582,"Charles, Michael Ray",3
25699,Charles I,2
21368,Charles Dickens and the Romantic Self (Frank),7
10087,Charity,1
14862,"Chariot of Wrath, The: The Message of John Milton to Democracy at War (Knight)",14
12102,"Characters analyzed at length -- Walter in ""The Clerk's Tale""",9
12100,Characters analyzed at length -- Rochester in Jane Eyre,8
12401,Nora Helmer (A Doll's House),5
46477,"Morgan, Joe",2
24412,Joe Morgan (The End of the Road),7
12093,Characters analyzed at length -- Jake Horner in The End of the Road,12
12135,Jacob Horner (The End of the Road),7
12399,Heathcliff (Wuthering Heights),3
12193,Guido (The Ring and the Book),6
12027,Creon (Antigone),2
12076,Characters -- a Horneyan approach to,5
36061,Self -- Rorty's term,3
36026,Person (Rorty's term),3
35876,Character -- Rorty's term,3
12763,Character issues -- Johnson administration and rise of,7
46131,Character issues,2
12725,Character -- issues,2
13109,Character integrity -- good enough president and,6
46083,Nature,1
29615,"Chaplin, Charlie: Modern Times",4
25785,Edward I,2
6377,"Changeling, The",2
33934,"Changelings, The",2
17924,Jerome,1
31635,"Champ, The",2
35279,"Chambers, Aidan",2
27284,Gregory J. Chaitin,3
9568,"Chadwick, Andrew",2
36262,"Cesaire, Aime: A Tempest",4
2574,European Organization for Nuclear Research (CERN),6
33449,Centers for Disease Control National AIDS Clearinghouse,7
8701,Loyola University Chicago -- Center for Textual Studies and Digital Humanities,10
6924,"Center for Research in Education, Diversity, and Excellence.",8
8699,Brown University -- Center for Digital Scholarship,6
8698,"Center for Digital Research in the Humanities (CDRH) -- ""Promotion

& Tenure Criteria for Assessing Digital Research in the Humanities""",18
8696,"Occidental College, Center for Digital Learning and Research",8
8695,University of Toronto -- Center for Computing in the Humanities,9
8694,"Cengage Learning, Artemis",3
8887,Gale -- Cengage Learning,3
46127,Gale,1
8885,"Fussell, Susan",2
42100,Celskiii (DJ and study participant) -- background leading to DJing,9
28653,Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW) (1979),13
8691,Center for Digital Research in the Humanities (CDRH),8
9565,compact discs (CDs),3
45480,"Caxton, William -- The Book of the Knight of the Tower",10
42099,Celskiii (DJ and study participant),5
6480,"Shining, The",2
45479,"Caxton, William -- The Book of Curtesy",6
17294,Roman Catholic Church,3
35278,"Cather, Willa",2
45477,Saints -- Catherine of Siena,4
26239,"Plessy v. Ferguson, 163 U.S. 537 (1896) overruled, 347 U.S. 483 (1954)",12
14657,"Ferguson, Ann",2
10877,Catherine (class teacher) -- Hochschild on emotional labor,7
10878,Catherine (class teacher) -- at Progress Day,6
5123,Catherine,1
35659,Castro,1
21359,"Castration, virtual, in Our Mutual Friend",6
19784,"Casto, William -- on Samuel Chase",5
19839,"Currie, David, on William Cushing",5
46125,"Currie, David",2
19840,"Currie, David -- on James Iredell and William Paterson",8
9564,"Castells, Manuel",2
24283,"Gotti, John",2
33931,Caste and Class in a Southern Town,7
35275,"Cass, Vivienne",2
12065,Cassius (Julius Caesar),3
12062,Brutus (Julius Caesar),3
12419,"Shakespeare, works of -- Julius Caesar",5
19702,"Pankeev, Sergei",2
25165,"Schreber, D. P.",3
42656,CASA,1
1090,Casablanca,1
4471,Cartesian dualisms,2
27325,"Descartes, Rene",2
33132,"Carter, Stephen L.",3
39432,"Carter, Stephen -- South Africa",4
41436,"Carter, Jimmy, President -- peace mission to Herzegovina",7
40765,"Carter, Jimmy, President",3
3283,California,1
3287,"San Quentin, CA",3
3286,"San Francisco, CA",3
3285,"San Diego, CA",3
3873,"Oakland, CA",2
31203,"Carreno v. IBEW Local No. 226, 54 FEP Cases 81 (D. Kan. 1990)",13
1089,"Carpenters, the",2
3302,Carnegie Library,2
4469,"Carnegie libraries, Delevan, IL, and Kewanee, IL",7
29613,"Merimee, Prosper: Carmen",3
7537,"Carlyle, Thomas -- The French Revolution",5
31124,"Welch, Robert",2
14000,"Carlyle, Thomas",2
26791,Carlisle School for Indians,4
22986,"Caring, ethic of -- norms, learning",5
46080,learning -- by doing,3
41043,cards,1
38802,"Cardozo, Justice Benjamin",3
31628,Captain Blackman (Williams),3
43109,Los Angeles County -- hospitals,4
43740,welfare rights movement,3
43728,Watts Neighborhood Health Center,4
35572,"Tax, Meredith",2
13890,taxes,1
43621,tax revolts,2
42439,abortion laws -- Roe v. Wade,5
43494,restrictive covenants,2
46124,"Project 100,000 (recruitment program)",4
43427,Project,1
43398,"police brutality -- war-making, links to",6
43297,"Nelson, Alondra",2
46123,"motherhood, voluntary -- as class privilege",5
43255,"Moynihan, Daniel Patrick -- on family planning",6
35174,"Moynihan, Daniel Patrick",3
42874,genocide -- and antiracism,3
42880,"genocide -- U.S., geography of",4
42881,genocide -- in Vietnam,3
42876,genocide -- discourse of,3
42879,genocide -- and population control,4
42878,genocide -- and Mexican Americans,4
42877,genocide -- and health care,4
42875,genocide -- and Black community,4
42812,family planning,2
6142,environmentalism,1
43742,National Welfare Rights Organization (NWRO),5
42490,anti-racism,2
42818,feminist politics,2
42443,"abortion rights movement -- choice, focus on",6
43892,body/bodies,2
38610,"Caplan, Pat",2
30802,Nathan,1
23541,Jewish Theological Seminary of America (JTS),6
14880,Cultural Capital: The Problem of Literary Canon Formation (Guillory),9
36844,"Cannon, Cornelia James",3
1093,"Chanson de Candy, La",4
1083,Candy Candy,2
2568,Canadians,1
13353,North American Free Trade Agreement (NAFTA),6
17287,Canada -- free trade agreement,4
17286,Canada -- class consciousness,3
29609,"Camus, Albert: The Stranger",4
15374,"Camus, Albert",2
35792,postmodernism,1
13534,President(ial),1
33099,Women in the military -- discharges for homosexuality,7
32722,Defense Investigative Service (DIS),4
32667,"Cammermeyer, Col. Margarethe",3
35274,"Case, Sue-Ellen",3
26785,"Cambodian, and refugee surge",4
33143,Conscience,1
46120,Conscience -- of others,3
25678,"Luther, Martin -- compared with Calvin on church and state",9
16081,"Jew, Jean",2
37377,"Calvin, John",2
25689,Calvinist Reformation,2
18287,Calvinist Alliance,2
30875,"Phillips, Wendell",2
12648,Calm (in the face of problems),6
3295,California State Prison (Corcoran),4
43661,University of Southern California (USC),5
33937,Civil rights -- acts of 1964 and 1965,7
31504,Title VII of the Civil Rights Act of 1964,9
31202,"California Federal Savings & Loan Association v. Guerra, 479 U.S. 272 (1987)",11
4467,"Cable, George Washington",3
2542,bioterrorism,1
27246,Bilinguals,1
21311,Being -- needs of,3
21305,Being,1
33124,"Behavioralism, in legal scholarship",4
12610,Behavior(al),1
41323,"""type A"" personality",3
1021,Akira,1
12241,analyses of characters and literary works,6
33723,Quality of life -- of mental health providers,7
16497,Mastery -- of his (Rilke's) father in his art,8
20630,Automobile industry,2
25945,American Indians,2
38580,"Alice, Gordon, Debbie, Mary",4
46089,Rennie Morgan -- analysis of,4
46119,"Cell, The",2
43393,police brutality -- BPP organizing against,5
3234,Black Panther Party for Self Defense (BPP),7
20232,Judges -- Harry Blackmun,3
33127,"Black, Charles",2
44157,Mules and Men (Hurston),4
43887,Mules and Men (Hurston) -- black cat bone scene in,9
41038,boxing,1
4298,"Volcker, Paul",2
12704,Central Intelligence Agency,3
44096,"Harman, Graham",2
4991,Vergil,1
25650,"Bernard, Saint",2
26551,"Eliot, George, writings -- Impressions of Theophrastus Such",7
26486,"Blackwood, John (editor and publisher) -- and Theophrastus",7
26485,"Blackwood, John (editor and publisher) -- and Scenes",7
26563,"Eliot, George, writings -- Scenes of Clerical Life",7
26484,"Blackwood, John (editor and publisher) -- and Mill",7
26557,"Eliot, George, writings -- The Mill on the Floss",8
26483,"Blackwood, John (editor and publisher) -- and Middlemarch",7
26482,"Blackwood, John (editor and publisher) -- and Marner",7
26707,"Eliot, George, writings -- Silas Marner",5
26481,"Blackwood, John (editor and publisher) -- and Magazine",7
26480,"Blackwood, John (editor and publisher), and Bede -- and Felix",9
26579,"Eliot, George, writings -- Felix Holt",5
26697,Self -- Felix,2
26479,"Blackwood, John (editor and publisher) -- and Deronda",7
17792,Daniel,1
26504,"Eliot, George, writings -- Daniel Deronda",5
26478,"Blackwood, John (editor and publisher), and Bede",7
46118,"Blackwood, John (editor and publisher)",5
14075,"Horney, Karen",2
26768,Blacks,1
29570,"Stevenson, Robert Louis -- The Black Arrow",6
29569,"Bizet, Georges: Carmen",3
35254,"Bittner, Egon",2
22426,"Elizabeth I, Queen",3
2543,"Bishop, Elizabeth",2
16285,Bisexuality,1
38348,Bisexual -- bisexual identity among lesbians,5
46117,Lesbian -- lesbian identity among bisexuals,5
42764,birth control -- Depo-Provera,4
42543,birth control -- and sexual liberation,5
1818,National Stadium,2
38341,Bisexual conferences -- BiPOL,3
38339,Biphobia,1
3609,"Howes, Carol",2
27807,"Barney, Natalie Clifford -- ""Woman Who Lives with Me, The""",9
27805,"Barney, Natalie Clifford -- Traits and Portraits",6
27803,"Barney, Natalie Clifford -- ""To the Mothers of Future Christs""",9
27801,"Barney, Natalie Clifford -- Some Portraits and Sonnets of Women",9
27800,"Barney, Natalie Clifford -- Scatterings",4
27799,"Barney, Natalie Clifford -- Poems and Poems: Other Alliances",8
27798,"Barney, Natalie Clifford -- Perilous Advantage, A",6
27797,"Barney, Natalie Clifford -- Our Secret Loves",6
27796,"Barney, Natalie Clifford -- One Who Is Legion, The",8
27794,"Barney, Natalie Clifford -- ""My Country 'tis of Thee""",8
27793,"Barney, Natalie Clifford -- ""Memoirs of a European-American""",8
27792,"Barney, Natalie Clifford -- Mallarmé",4
27791,"Barney, Natalie Clifford -- Letters to a Woman I Have Known",10
27790,"Barney, Natalie Clifford -- Indiscreet Recollections",5
27778,"Barney, Natalie Clifford -- as described by Lucie Delarue-Mardrus",9
27777,"Barney, Natalie Clifford -- as described by Aurel",7
5577,Brown v. Board of Education (I),6
31850,"Kovic, Ron",2
31946,Outerbridge Reach (Stone),3
31764,"Hall of Mirrors, A (Stone)",5
31726,"Flag for Sunrise, A (Stone)",5
31698,Dog Soldiers (Stone),3
31639,Children of Light (Stone),4
38738,"Stone, Alexandra",2
31612,Born on the Fourth of July (Stone),7
9640,"Foucault, Michel",2
35261,"Bray, Alan",2
41920,business as usual,3
9556,"Bush, George W.",3
13997,"Bush, George",2
26487,"Bowlby, John -- on reactions to loss",6
26488,"Brabant, Robert",2
9558,"Bush, Vannevar",2
19019,birch,1
5114,Black Moiety,2
15969,"Bowers v. Hardwick, 478 U.S. 186 (1986)",7
19774,"Bork, Robert H.",3
38523,On Our Backs,3
45452,biomass flows: De Landa's concept of,6
5121,cannen,1
38337,BiNet USA,2
994,Washington,1
